Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
255.917, 7.182, -20.819, 29.014, 0.000, 6.020, 253.399, 20.000
256.053, 6.777, -20.238, 29.055, 0.000, 6.040, 253.534, 20.000
256.180, 6.384, -19.656, 29.093, 0.000, 6.060, 253.662, 20.000
256.301, 6.002, -19.074, 29.130, 0.000, 6.080, 253.782, 20.000
256.413, 5.633, -18.490, 29.165, 0.000, 6.100, 253.895, 20.000
256.519, 5.274, -17.907, 29.198, 0.000, 6.120, 254.000, 20.000
256.617, 4.928, -17.322, 29.229, 0.000, 6.140, 254.099, 20.000
256.709, 4.593, -16.737, 29.259, 0.000, 6.160, 254.191, 20.000
256.794, 4.270, -16.151, 29.286, 0.000, 6.180, 254.276, 20.000
256.874, 3.959, -15.565, 29.312, 0.000, 6.200, 254.355, 20.000
256.947, 3.659, -14.978, 29.336, 0.000, 6.220, 254.428, 20.000
257.014, 3.372, -14.391, 29.359, 0.000, 6.240, 254.496, 20.000
257.076, 3.095, -13.803, 29.379, 0.000, 6.260, 254.558, 20.000
257.133, 2.831, -13.215, 29.399, 0.000, 6.280, 254.614, 20.000
257.184, 2.579, -12.627, 29.416, 0.000, 6.300, 254.666, 20.000
257.231, 2.338, -12.038, 29.433, 0.000, 6.320, 254.713, 20.000
257.273, 2.109, -11.449, 29.448, 0.000, 6.340, 254.755, 20.000
257.311, 1.892, -10.860, 29.461, 0.000, 6.360, 254.793, 20.000
257.345, 1.686, -10.271, 29.473, 0.000, 6.380, 254.826, 20.000
257.375, 1.493, -9.681, 29.484, 0.000, 6.400, 254.856, 20.000
257.401, 1.311, -9.091, 29.494, 0.000, 6.420, 254.883, 20.000
257.424, 1.141, -8.501, 29.502, 0.000, 6.440, 254.905, 20.000
257.443, 0.983, -7.911, 29.510, 0.000, 6.460, 254.925, 20.000
257.460, 0.836, -7.321, 29.516, 0.000, 6.480, 254.942, 20.000
257.474, 0.702, -6.730, 29.522, 0.000, 6.500, 254.956, 20.000
257.486, 0.579, -6.140, 29.526, 0.000, 6.520, 254.967, 20.000
257.495, 0.468, -5.549, 29.530, 0.000, 6.540, 254.977, 20.000
257.502, 0.369, -4.958, 29.534, 0.000, 6.560, 254.984, 20.000
257.508, 0.281, -4.368, 29.536, 0.000, 6.580, 254.990, 20.000
257.512, 0.206, -3.777, 29.538, 0.000, 6.600, 254.994, 20.000
257.515, 0.142, -3.186, 29.540, 0.000, 6.620, 254.997, 20.000
257.517, 0.090, -2.595, 29.541, 0.000, 6.640, 254.998, 20.000
257.518, 0.050, -2.004, 29.541, 0.000, 6.660, 254.999, 20.000
257.518, 0.022, -1.414, 29.542, 0.000, 6.680, 255.000, 20.000
257.518, 0.005, -0.823, 29.542, 0.000, 6.700, 255.000, 20.000
257.518, 0.000, -0.264, 27.955, 0.000, 6.720, 255.000, 20.000
