Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
234.258, 39.327, -36.316, 0.996, 0.023, 5.020, 231.741, 39.812
235.030, 38.601, -36.294, 1.073, 0.022, 5.040, 232.513, 39.829
235.787, 37.875, -36.271, 1.146, 0.020, 5.060, 233.270, 39.845
236.530, 37.150, -36.247, 1.214, 0.019, 5.080, 234.013, 39.860
237.259, 36.426, -36.221, 1.278, 0.018, 5.100, 234.741, 39.873
237.973, 35.702, -36.195, 1.338, 0.017, 5.120, 235.455, 39.886
238.673, 34.979, -36.167, 1.393, 0.016, 5.140, 236.155, 39.897
239.358, 34.256, -36.138, 1.444, 0.015, 5.160, 236.840, 39.908
240.028, 33.534, -36.108, 1.491, 0.014, 5.180, 237.510, 39.917
240.685, 32.812, -36.077, 1.534, 0.013, 5.200, 238.166, 39.926
241.326, 32.091, -36.046, 1.572, 0.012, 5.220, 238.808, 39.934
241.954, 31.371, -36.014, 1.606, 0.011, 5.240, 239.436, 39.941
242.567, 30.651, -35.981, 1.637, 0.010, 5.260, 240.049, 39.947
243.165, 29.932, -35.948, 1.663, 0.009, 5.280, 240.647, 39.953
243.750, 29.214, -35.914, 1.685, 0.009, 5.300, 241.231, 39.959
244.320, 28.497, -35.880, 1.704, 0.008, 5.320, 241.801, 39.963
244.875, 27.780, -35.846, 1.719, 0.007, 5.340, 242.357, 39.968
245.417, 27.063, -35.811, 1.729, 0.007, 5.360, 242.898, 39.972
245.944, 26.348, -35.776, 1.737, 0.006, 5.380, 243.425, 39.975
246.456, 25.633, -35.742, 1.740, 0.006, 5.400, 243.938, 39.978
246.955, 24.919, -35.707, 1.740, 0.005, 5.420, 244.436, 39.981
247.439, 24.206, -35.672, 1.737, 0.005, 5.440, 244.920, 39.983
247.909, 23.493, -35.637, 1.730, 0.004, 5.460, 245.390, 39.986
248.364, 22.781, -35.603, 1.720, 0.004, 5.480, 245.846, 39.987
248.806, 22.069, -35.569, 1.706, 0.004, 5.500, 246.287, 39.989
249.233, 21.359, -35.535, 1.689, 0.003, 5.520, 246.714, 39.991
249.646, 20.649, -35.470, 3.268, 0.003, 5.540, 247.127, 39.992
250.045, 19.947, -35.107, 18.119, 0.003, 5.560, 247.526, 39.993
250.430, 19.257, -34.481, 31.344, 0.002, 5.580, 247.911, 39.994
